,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Code
198,68,0.499,0.873,6,-3.902,1,0.0386,0.00468,0.0,0.165,0.864,142.726,134200,4,1
199,47,0.475,0.807,3,-3.959,0,0.0332,0.0136,6.74e-05,0.109,0.731,145.179,200000,4,1
200,47,0.502,0.96,6,-4.523,1,0.143,0.288,0.000254,0.676,0.438,76.04,260000,4,1
201,58,0.282,0.932,9,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,255893,4,1
202,38,0.492,0.553,9,-8.6,1,0.0397,0.406,0.000105,0.163,0.431,125.936,167200,4,1
203,42,0.837,0.646,5,-7.675,1,0.309,0.0851,0.0,0.251,0.492,115.041,194812,4,1
204,45,0.461,0.955,11,-6.684,1,0.0489,0.111,0.532,0.952,0.725,160.073,166092,4,1
205,0,0.78,0.747,1,-9.192,1,0.0374,0.000376,0.921,0.0766,0.0558,127.951,457500,4,1
206,51,0.603,0.443,0,-7.73,1,0.0288,0.533,2.24e-06,0.097,0.421,134.891,246227,4,1
207,42,0.553,0.74,9,-5.54,1,0.0363,0.0987,0.0,0.134,0.656,115.957,194313,4,1
208,25,0.772,0.435,10,-12.612,1,0.088,0.0333,0.0,0.514,0.92,112.264,247293,4,1
209,40,0.565,0.769,6,-7.863,0,0.0594,0.0135,0.794,0.171,0.464,124.069,145920,4,1
210,46,0.61,0.895,10,-7.029,1,0.0289,0.0118,3e-05,0.048,0.933,141.364,244507,4,1
211,45,0.424,0.83,9,-5.298,1,0.028,0.000307,0.000717,0.36,0.544,101.596,181608,4,1
212,58,0.457,0.804,6,-4.756,0,0.0362,0.000206,0.0,0.197,0.523,155.022,171033,4,1
213,36,0.803,0.51,10,-4.352,1,0.12,0.239,0.000923,0.113,0.512,173.985,264948,4,1
214,50,0.536,0.808,8,-13.407,1,0.0439,0.0579,0.894,0.117,0.678,122.408,351867,4,1
215,33,0.65,0.6,9,-10.615,0,0.04,0.0278,0.00121,0.811,0.795,110.016,180203,4,1
216,46,0.687,0.541,9,-4.18,0,0.236,0.091,0.0,0.313,0.376,130.181,219789,4,1
217,53,0.391,0.958,10,-5.494,1,0.0832,0.000181,0.000899,0.122,0.326,89.88,210933,4,1
218,37,0.499,0.491,0,-7.326,0,0.0292,0.0311,2.01e-06,0.134,0.431,80.062,214072,4,1
